ID,Start time,Completion time,What were the primary learning objectives of the lesson that you observed?,How did the instructor structure this session?,How did you engage with the instructor? With your peers?,What technology was utilized?,How did the instructor facilitate a supportive environment? What did they do to make it inclusive to all learners?,What specific things do you feel made the instructor effective?,The learning objectives for the lecture/learning activity were clearly stated.,I understood the lecture/learning activity well.,The instructor was prepared and interacted well with the class.,I felt comfortable asking questions.,What were the main themes of the lecture/learning activity?,What other observations/comments do you have to share?
2,11/20/25 14:00:46,11/20/25 14:01:27,,Was organized ,,,,,5,5,5,5,,The instructor was prepared and the information was concise 
3,11/20/25 14:00:30,11/20/25 14:02:02,,,Eye contact ,,,,1,2,4,2,,"Talker slower, I could not understand what we were talking about a lot of the time "
4,11/20/25 14:00:52,11/20/25 14:02:03,Pathogens,Reading off slides,No,Projector,Nothing,Using visuals of the topic discussed,3,2,2,2,Pathogens?,She stuttered a lot and seemed to keep running around in circles during her lecture
5,11/20/25 14:01:00,11/20/25 14:02:22,Bacteria/virus,Broader topics to more specific ones,Paying attention ,PowerPoint slides ,Projected voice and good body language ,Good talking,5,5,5,5,Bacteria,Great presentation could have been a little slower
6,11/20/25 14:00:52,11/20/25 14:02:32,"Pathogens, history, various info on how pathogens work and anti microbial agents","Intro, history and context, lesson, branch out","I listened, no peers",PowerPoint and projector,"Be genuine, made lecture interesting as well as talk loud and equal",The process and flow between slides was clear,5,5,4,5,Pathogens and how they relate to other organisms,N/A
7,11/20/25 14:00:27,11/20/25 14:02:39,The main learning objectives were about pathogens ,The instructor did very well teaching the class and was well articulated about the lecture ,Giving examples that are easy to understand ,PowerPoint and phones to do the survey ,With reassurance and confidence teaching the unit ,Her confidence in the unit ,3,3,4,4,Pathogens and viruses ,No other comments 
8,11/20/25 14:00:42,11/20/25 14:02:39,About pathogens and how they worked,They lectured based off their sliedes,,,,They were confident in what they talked about,5,4,5,5,Pathogens,I think they spoke too fast and could have slowed down. Because of that I had a hard time retaining information
9,11/20/25 14:00:44,11/20/25 14:02:46,We learned about Pathogens.,In a well prepared presentation via slidez,Listening,Powerpoint slides,Related shows to bacteria,Good speaking skills,5,5,5,5,Pathogens,Good job
10,11/20/25 14:00:31,11/20/25 14:02:49,"Learning the history of microbiology and pathogens, different types of bacteria ie firmicutes ","History of microbiology, then different types of bacteria, then explanations of each bacteria fungi and viruses ",,Computer and screen,She was kind and open to questions ,"The knowledge and how she had videos, games and websites at the bottom ",5,3,5,5,Learning pathogens ,You’re going to be a great professor. My one thing is that you talk very fast so try to slow down a bit 
11,11/20/25 14:01:20,11/20/25 14:02:55,pathogens and their characteristics ,well organized and a good flow,did not ,powerpoint slides,,,5,5,5,5,pathogens,less pictures more words on the slides. 
12,11/20/25 14:00:46,11/20/25 14:02:56,pathogens ,lecture,listening,powerpoint,effective communication ,clear descriptions,3,3,3,3,pathogens ,none
13,11/20/25 14:00:26,11/20/25 14:03:02,Identifying what pathogens are & where they come from. ,"She structured it by first starting with the history, then going into what it is & where it’s found, then how they look & their traits as well as what every part does. ",By paying attention & taking notes. ,A powerpoint on a projector & a laser pointer. ,She gave off a very kind demeanor. ,The instructor was very passionate & knew what she was talking about so it was easier to follow along ,5,5,5,5,Pathogens,"Dr. Cilicia gave a great lecture, I would just say talk a little bit slower but everything else was great! Thank you!"
14,11/20/25 14:00:27,11/20/25 14:03:02,1. Different pathogens and diseases and how they affect us.,Explained different disease types and then further went into detail.,Mostly lecture,PowerPoint/Projector,Many videos and real world examples,Somewhat monotone ,3,2,4,3,Diseases and what they do,I liked the topic and examples used they were very relatable
15,11/20/25 14:00:33,11/20/25 14:03:03,Pathogens ,She had a few main topics with sub topics that followed that went into great detail ! ,I listened as she taught the lesson ,Computer and projector ,She constantly asked if we were all caught up or understood what she was trying to get across.,answering things she knew we probably ask about ! ,1,1,1,1,Pathogens and the way they spread,She could slow down just little bit! 
